id,title,description,phase_number,target_date,start_date,completion_date,status,progress_percentage,verified,verified_at,ai_verification_score,images,videos,blockchain_hash,ipfs_hash,notes,created_at,updated_at,verified_by_id,project_id,qr_code_data,qr_code_secret
0034e9fe-0048-49b1-97b3-4d01c3cd4267,Structure,RCC framework and structure completed,2,2025-05-24,2024-11-25,,in_progress,70.00,true,,,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=800"",""https://images.unsplash.com/photo-1503387762-592deb58ef4e?w=800""]",[],,,Auto-seeded milestone.,2025-11-09 08:13:49.967799+00,2025-11-09 10:21:58.922942+00,,7580745b-a5df-4c22-a23b-ab1d5ccab605,milestone:7580745b-a5df-4c22-a23b-ab1d5ccab605:0034e9fe-0048-49b1-97b3-4d01c3cd4267:c5fba6ab,3ad93477ea840ef64e6d7b570919171a81a4665fb07c4c602fcdfd02ae9ee454
007b2536-b89e-4c32-b98b-3b46537bf1d8,Flooring,Flooring and tiling work in progress,5,2025-05-18,2024-02-23,2025-05-18,completed,63.00,true,,,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=800"",""https://images.unsplash.com/photo-1503387762-592deb58ef4e?w=800""]",[],,,Auto-seeded milestone.,2025-11-09 08:13:35.247862+00,2025-11-09 10:22:20.255872+00,,fcd67c5a-db92-426a-849c-d2ce79b0c4ea,milestone:fcd67c5a-db92-426a-849c-d2ce79b0c4ea:007b2536-b89e-4c32-b98b-3b46537bf1d8:cc06131b,bdeab9f869358de4a356d3d063395393093c60319b95b66c88413cce43b38cf5
0108af65-7bfa-4c64-8335-ed445214cf2e,Foundation & Excavation,"Site preparation, excavation work, foundation laying, and plinth beam construction.",1,2024-04-17,,,pending,0.00,false,,,[],[],,,Phase 1 of construction,2025-11-09 08:44:10.765168+00,2025-11-09 10:21:49.940025+00,,d9dffdb9-3678-4cf3-bb58-f759fb95856f,milestone:d9dffdb9-3678-4cf3-bb58-f759fb95856f:0108af65-7bfa-4c64-8335-ed445214cf2e:6553b1eb,20d9c0acb52df6d659bf5f92438f5e4cf278eca389805a5ae2d790e50b4266f2
02cefea5-6ae4-4660-b72c-2bda44d39689,Interior Finishing,"Flooring, wall finishes, painting, fixture installation, and final touches.",4,2025-11-25,2025-11-25,2025-12-25,completed,100.00,true,,,[],[],,,Phase 4 of construction,2025-11-09 08:44:00.380054+00,2025-11-09 10:21:20.977648+00,,af3fb2c1-8d89-4291-95d8-51a3524b1e3c,milestone:af3fb2c1-8d89-4291-95d8-51a3524b1e3c:02cefea5-6ae4-4660-b72c-2bda44d39689:3d795e8e,2f7585507b7c5a2742f85e9fafbb5db875e0347fc7029e436d57ba2f065de031
03579697-3c94-4071-b2f2-364054de6999,Structural Framework,"Column, beam, and slab construction. Completion of structural framework for all floors.",2,2025-07-03,,,pending,0.00,false,,,[],[],,,Phase 2 of construction,2025-11-09 08:43:53.637625+00,2025-11-09 10:21:09.116921+00,,fe6465af-4524-49ab-9245-5610f83ed7dc,milestone:fe6465af-4524-49ab-9245-5610f83ed7dc:03579697-3c94-4071-b2f2-364054de6999:a201a117,bb61fc33dd0d253cb962059bcfeac603101a7339e0e3f91c3c65dd90524a2946
040d5b7f-05ed-4750-9842-54dedb6fe758,Foundation & Excavation,"Site preparation, excavation work, foundation laying, and plinth beam construction.",1,2025-03-11,,,pending,0.00,false,,,[],[],,,Phase 1 of construction,2025-11-09 08:43:56.741444+00,2025-11-09 10:21:14.441615+00,,f170f613-3385-4689-8417-c6671ab848db,milestone:f170f613-3385-4689-8417-c6671ab848db:040d5b7f-05ed-4750-9842-54dedb6fe758:86e717bc,c5de10ee039149a0ed8a28f74cb3d32d01e89a719259ae034dd1f1c5a81ef40a
04c9e446-5789-4b14-b1be-afa9f7b20395,Foundation,Foundation and basement work completed,1,2024-05-23,2024-02-23,2024-05-23,completed,95.00,true,,,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=800"",""https://images.unsplash.com/photo-1503387762-592deb58ef4e?w=800""]",[],,,Auto-seeded milestone.,2025-11-09 08:13:35.247719+00,2025-11-09 10:22:19.162463+00,,fcd67c5a-db92-426a-849c-d2ce79b0c4ea,milestone:fcd67c5a-db92-426a-849c-d2ce79b0c4ea:04c9e446-5789-4b14-b1be-afa9f7b20395:d8ba2067,8ca0d07bd3ef66e47ab99fec186f3c902c391923ac8dd66d32861a0cdae3b8a2
05910358-2ae6-4423-9ca8-4e8a9de3e1d4,Foundation & Excavation,"Site preparation, excavation work, foundation laying, and plinth beam construction.",1,2025-02-01,2025-02-01,2025-03-03,completed,100.00,true,,,[],[],,,Phase 1 of construction,2025-11-09 08:43:54.312384+00,2025-11-09 10:21:10.301936+00,,b8e3d11b-8fb9-4776-a4ac-4439a3693388,milestone:b8e3d11b-8fb9-4776-a4ac-4439a3693388:05910358-2ae6-4423-9ca8-4e8a9de3e1d4:afb854d1,0f70f706920357a05ac7c7bdfd75700ad3e3c51cae0bda244c88ab219fadc430
06a4e1fa-f398-4260-9d7e-9b6c98a8476e,Structure,RCC framework and structure completed,2,2025-02-27,2024-08-31,,in_progress,65.00,false,,,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=800"",""https://images.unsplash.com/photo-1503387762-592deb58ef4e?w=800""]",[],,,Auto-seeded milestone.,2025-11-09 08:13:42.959557+00,2025-11-09 10:22:08.116317+00,,26311c4a-8b26-4b2d-928d-9353d6db2a63,milestone:26311c4a-8b26-4b2d-928d-9353d6db2a63:06a4e1fa-f398-4260-9d7e-9b6c98a8476e:70968cff,23f81f48cd112cfb4c9efcbf2738a4f70e47a368bb6bc807a36b11b22de6d370
06f1d250-cda1-4f80-926e-3015b3bb234c,Walls,Brick work and plastering completed,3,2025-07-30,2024-11-02,,in_progress,61.00,false,,,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=800"",""https://images.unsplash.com/photo-1503387762-592deb58ef4e?w=800""]",[],,,Auto-seeded milestone.,2025-11-09 08:14:01.630343+00,2025-11-09 10:21:40.313558+00,,ce96b194-eab2-420c-b932-77fc8249a42e,milestone:ce96b194-eab2-420c-b932-77fc8249a42e:06f1d250-cda1-4f80-926e-3015b3bb234c:9d2faaca,95154ac621ca24b407ed16ab246d29f95a30d3bd92f26d1609c94742a009d5a8
